program_id,program_name,department_code,department_name,section,fund_type,fiscal_year,amount,positions,ceiling,allocation_type,category,subcategory,notes,fund_category
AGR101,FINANCIAL ASSISTANCE FOR AGRICULTURE,AGR,AGR,Operating,W,2027,5500000.0,,,,Economic Development,,,Revolving Funds
AGR101,FINANCIAL ASSISTANCE FOR AGRICULTURE,AGR,AGR,Operating,A,2027,874338.0,,,,Economic Development,,,General Funds
AGR122,PLANT PEST AND DISEASE CONTROL,AGR,AGR,Operating,A,2027,21335989.0,,,,Economic Development,,,General Funds
AGR122,PLANT PEST AND DISEASE CONTROL,AGR,AGR,Operating,U,2027,212095.0,,,,Economic Development,,,Interdepartmental Transfers
AGR122,PLANT PEST AND DISEASE CONTROL,AGR,AGR,Operating,W,2027,50360.0,,,,Economic Development,,,Revolving Funds
AGR122,PLANT PEST AND DISEASE CONTROL,AGR,AGR,Operating,P,2027,365946.0,,,,Economic Development,,,Other Federal Funds
AGR122,PLANT PEST AND DISEASE CONTROL,AGR,AGR,Operating,B,2027,4130800.0,,,,Economic Development,,,Special Funds
AGR122,PLANT PEST AND DISEASE CONTROL,AGR,AGR,Operating,T,2027,512962.0,,,,Economic Development,,,Trust Funds
AGR131,RABIES QUARANTINE,AGR,AGR,Operating,B,2027,4781110.0,,,,Economic Development,,,Special Funds
AGR132,ANIMAL DISEASE CONTROL,AGR,AGR,Operating,B,2027,47802.0,,,,Economic Development,,,Special Funds
AGR132,ANIMAL DISEASE CONTROL,AGR,AGR,Operating,P,2027,306941.0,,,,Economic Development,,,Other Federal Funds
AGR132,ANIMAL DISEASE CONTROL,AGR,AGR,Operating,A,2027,3352755.0,,,,Economic Development,,,General Funds
AGR141,AGRICULTURAL RESOURCE MANAGEMENT,AGR,AGR,Operating,W,2027,1375787.0,,,,Economic Development,,,Revolving Funds
AGR141,AGRICULTURAL RESOURCE MANAGEMENT,AGR,AGR,Operating,A,2027,1798532.0,,,,Economic Development,,,General Funds
AGR141,AGRICULTURAL RESOURCE MANAGEMENT,AGR,AGR,Operating,B,2027,2851320.0,,,,Economic Development,,,Special Funds
AGR151,QUALITY AND PRICE ASSURANCE,AGR,AGR,Operating,P,2027,138624.0,,,,Economic Development,,,Other Federal Funds
AGR151,QUALITY AND PRICE ASSURANCE,AGR,AGR,Operating,W,2027,127848.0,,,,Economic Development,,,Revolving Funds
AGR151,QUALITY AND PRICE ASSURANCE,AGR,AGR,Operating,A,2027,1826443.0,,,,Economic Development,,,General Funds
AGR151,QUALITY AND PRICE ASSURANCE,AGR,AGR,Operating,B,2027,109046.0,,,,Economic Development,,,Special Funds
AGR151,QUALITY AND PRICE ASSURANCE,AGR,AGR,Operating,T,2027,300000.0,,,,Economic Development,,,Trust Funds
AGR151,QUALITY AND PRICE ASSURANCE,AGR,AGR,Operating,N,2027,100000.0,,,,Economic Development,,,Federal Funds
AGR153,AQUACULTURE DEVELOPMENT,AGR,AGR,Operating,A,2027,978519.0,,,,Economic Development,,,General Funds
AGR153,AQUACULTURE DEVELOPMENT,AGR,AGR,Operating,B,2027,125000.0,,,,Economic Development,,,Special Funds
AGR171,AGRICULTURAL DEVELOPMENT AND MARKETING,AGR,AGR,Operating,B,2027,15000.0,,,,Economic Development,,,Special Funds
AGR171,AGRICULTURAL DEVELOPMENT AND MARKETING,AGR,AGR,Operating,N,2027,2051568.0,,,,Economic Development,,,Federal Funds
AGR171,AGRICULTURAL DEVELOPMENT AND MARKETING,AGR,AGR,Operating,P,2027,5289219.0,,,,Economic Development,,,Other Federal Funds
AGR171,AGRICULTURAL DEVELOPMENT AND MARKETING,AGR,AGR,Operating,A,2027,1067694.0,,,,Economic Development,,,General Funds
AGR192,GENERAL ADMINISTRATION FOR AGRICULTURE,AGR,AGR,Operating,A,2027,5556126.0,,,,Economic Development,,,General Funds
AGR192,GENERAL ADMINISTRATION FOR AGRICULTURE,AGS,AGS,Capital Improvement,C,2027,2200000.0,,,,Economic Development,,,General Obligation Bond Fund
AGR192,GENERAL ADMINISTRATION FOR AGRICULTURE,P,P,Operating,P,2027,164450.0,,,,Economic Development,,,Other Federal Funds
AGR812,MEASUREMENT STANDARDS,AGR,AGR,Operating,A,2027,746480.0,,,,Individual Rights,,,General Funds
AGR846,PESTICIDES,AGR,AGR,Operating,W,2027,2364038.0,,,,Environment,,,Revolving Funds
AGR846,PESTICIDES,AGR,AGR,Operating,P,2027,464629.0,,,,Environment,,,Other Federal Funds
AGR846,PESTICIDES,AGR,AGR,Operating,A,2027,2729255.0,,,,Environment,,,General Funds
AGS101,ACCOUNTING SYSTEM DEVELOPMENT AND MAINTENANCE,AGS,AGS,Operating,A,2027,8431323.0,,,,Government Operations,,,General Funds
AGS102,EXPENDITURE EXAMINATION,AGS,AGS,Operating,A,2027,1629046.0,,,,Government Operations,,,General Funds
AGS103,RECORDING AND REPORTING,AGS,AGS,Operating,A,2027,1387165.0,,,,Government Operations,,,General Funds
AGS104,INTERNAL POST AUDIT,AGS,AGS,Operating,A,2027,1025751.0,,,,Government Operations,,,General Funds
AGS105,ENFORCEMENT OF INFORMATION PRACTICES,AGS,AGS,Operating,A,2027,1258905.0,,,,Individual Rights,,,General Funds
AGS111,ARCHIVES - RECORDS MANAGEMENT,AGS,AGS,Operating,A,2027,6469149.0,,,,Government Operations,,,General Funds
AGS111,ARCHIVES - RECORDS MANAGEMENT,AGS,AGS,Operating,B,2027,521304.0,,,,Government Operations,,,Special Funds
AGS131,ENTERPRISE TECHNOLOGY SERVICES,AGS,AGS,Operating,B,2027,2578244.0,,,,Government Operations,,,Special Funds
AGS131,ENTERPRISE TECHNOLOGY SERVICES,AGS,AGS,Operating,A,2027,52238803.0,,,,Government Operations,,,General Funds
AGS131,ENTERPRISE TECHNOLOGY SERVICES,AGS,AGS,Operating,U,2027,6315295.0,,,,Government Operations,,,Interdepartmental Transfers
